猜猜	23,31
瘦小	1,11
瘦弱	1,17,31,32
瘦弱不堪	17
瘦得	1,2
瘦瘠	1,13,19,27
瘦瘦	7,16,32
瘦瘦的	7,16,32
瘦肉	1
瘦脸	0
瘦马	17
瘦骨受	3
瘪	15,16,17,20,25,31
瘫子	18
瘫痪	2,7,13,16,21,27
瘰疬	9,22
瘳	11
瘴气	1,7,20,28
瘴疠	27
瘴雨	15
瘴雾	13
瘴风	1
瘸	1,16,25,31
瘸子	20,31
瘿	21
癔	3,11
癖好	19
癖性	2,6
癞	30
癞狗生	13
癞病	7,10,13,21
癞皮	21
癞皮狗	11,22
癞蛤蟆	21,22,28,31
癫狂	16,22,25
癫痫	9,26
癫癫	30
癸	21
登	1,19,21,24,25,27,31,32
登上	2,6,10,17,20,22,24,25,26,27,28,29,31,32
登位	1,17,24,25
登场	1,3,5,7,10,12,15,17,22,24
登坛	32
登城	13,27
登基	25,31
登堡	7
登山	32
登岸	1,31
登峰	10
登峰造极	10
登录	5
登极	29
登梯	10,29
登海	18
登程	3,5,20
登纳	24
登纳下	24
登船	7,11,19
登艇	8
登记	1,10
登门	6,31
登门拜访	31
登陆	4,12,17,20,25,27,31
登高	2,13
白	1,2,3,4,5,6,7,8,9,11,13,14,16,18,19,20,21,26,29,31
白丽姐	9
白事	0,10
白云	5
白人	4,7
白净	18,30
白刃	14,21,25
白厅	24
白发	1,4,6,7,8,10,14,20,25,30,31,32
白发红颜	4
白发苍	25,31
白发苍苍	25,31
白听	28
白和红	19
白地	9,16,18,28,31,32
白垩	9,29,31
白天	1,4,6,9,10,11,12,13,14,15,17,19,22,24,25,30,31,32
白天黑夜	9
白头	15,17
白头到老	15
白如雪	7
白嫩	10,14,21
白布	4,22,31
白干	1,23
白律治	18
白得	15,21,29,30
白忙	18
白手	5
白旗	8
白日	0,6
白是	8,19
白昼	1,2,3,4,5,6,7,8,10,11,13,15,19,20,21,22,24,25,27,29,31,32
白普蒂丝姐	7
白杀	7
白杨	1,29
白杨树	1
白死	31
白水	17
白沫	1,10,12,14,26,32
白活	1
白浪	17,31
白浪滔天	31
白漆	29
白玫瑰	25,31
白璧	23
白璧无瑕	3
白生	1
白用	18
白痴	12,21
白白	0,1,2,4,6,7,9,10,12,15,16,18,19,21,23,24,26,28,29,31,32
白白地	9,16,18,28,31,32
白白的	0,4,18
白白胖胖	29
白皙	2,6,15
白眼	5,16,20,24,28,31
白纸	8,17,26
白罗克	18
白罗克到	18
白羊	29
白肉	6
白胡子	4
白脸	9,11,15,19,30
白色	0,5,7,13,15,18,19,24,29,31,32
白花	31
白茫茫	6,29
白莉	17
白葡萄酒	1,6,14,18,28
白虱	18
白蜡	25
白衣	18,19
白袍	1,24,29
白袜子	14
白要	4
白话	1,4
白说	13,27
白费	0,3,5,10,11,14,18,22,23,24,27,28,29,31
白费唇舌	23
白赶	3
白酒	17,18,28
白银	6,7,10,12,22
白雪	10,12,20,22,26,27
白面	15
白须	1,13,20,21,27,30,32
白首	19
白马	25,31
白骑	18
白骨	5,15,30
白鸽	0,5,8,15,28
白鹭	2
白鹿	31
百万	1,4,5,10,12,14,15,17,28,29
百万倍	5
百世	30,31
百世流芳	31
百个	1,2,3,5,9,12,13,14,17,18,20,21,23,32
百事	25,31
百二	14,17
百五	1,3,16,18
百五十	1,3,16,18
百人	17
百倍	1,3,12,18,21,27,31
百六	7,26
百兽	15
百出	18
百分	0,7,31
百分之	0,7,31
百分之一	7
百分之十五	31
百分之百	0
百匹	1
百十	31
百千	15
百发	3,8,19
百发百中	3,8,19
百口	31
百口莫辩	31
百合	4,11,12,15,17,21,24,29,31
百合花	4,11,12,15,17,21,24,29,31
百名	20,31
百回	1
百块	7,9,16,17
百多	1,28
百头	14
百姓	2,4,17,19,25,31
百姓遭殃	25
百孔	10
百官	19
百宝	4
百尺	24
百岁	19,26
百工	2,10,13
百年	5,8,10,18,19,28,29,31
百年之好	10
百年偕老	28
百慕大	28
百慕大群岛	28
百成	25
百战	10,12,19,31
百战百胜	10,31
百折	10
百折不挠	10
百文	26
百无一失	4,8
百晓	3
百条	1,17,25
百次	11,31
百灵	3,4,15,17,25
百灵鸟	4,15,17,25
百病	5,9
百病丛生	9
百眼	6,19,21
百窍	2,20
百结	6,20,24
百胜	10,31
百般	1,9,15,25,31
百般刁难	1
百艘	26
百花	1,12,15,18,19,29
百花怒放	29
百草	8
百计	0,7,12,18,31
百试	3
百诺	24
百里	4,8,26
百里香	26
百镑	18
百鬼	32
皂白	12,13,18
皂隶	3
的士	7
的煦育	31
的的确确	1,9,12,16,21,23,26,30,32
皆	10,12,15,16,18,19,22,28,30,31
皆大欢喜	16
皆空	12,27
皇	29
皇上	10,12,17,24,25,29
皇之子	29
皇亲	23
皇亲国戚	23
皇位	29
皇储	31
皇儿	31
皇兄	17,29,31
皇冕	31
皇冠	4,6,17,29
皇后	17,19,29
皇嗣	25
皇图	24
皇土	25
皇天	25,31
皇太子	1,17,31
皇嫂	25
皇子	29
皇室	17,24,25,31
皇宫	29
皇家	25,31
皇帝	1,4,10,12,17,18,23,24,25,26,28,29,30,31
皇座	29
皇弟	25
皇恩	24
皇族	25,31
皇朝	25
皇杖	31
皈依	4,6,11,23,31
皎	8
皎洁	5,6,7,10,11,12,15,19,26,30
皎然	5
皎白	2,5,28
皓月	19
皮	1,3,4,9,15,17,19,20,21,27,31
皮之不存	31
皮儿	16
皮包	1
皮包骨	1
皮包骨头	1
皮匠	0,7,31
皮厄斯	27
皮哩	9
皮囊	0,1,6,7,10,12,13,16,17,18,21,27,29,32
皮壳	1,28
皮多	1
皮多上	1
皮多及	1
皮多外	1
皮太厚	1
皮子	9
皮带	2,17
皮拉	15,29
皮条	18,26
皮来	17,21
皮毛	16,31
皮洛斯	7,21
皮球	9,20
皮疮	31
皮硝得	7
皮笑	1
皮纸	9,31,32
皮肉	1,3,8,14,17,18,20,21,23,25,30
皮肤	1,7,8,9,10,18,19,21,22,29,30
皮袋	28
皮里	1
皮革	31
皮鞭	23,31
皮顶	16
皱	0,12,15,16,17,20,24,31
皱一	16
皱成	1
皱折	15
皱皮	1
皱眉	0,4,6,7,14,16,20,25,31
皱眉头	0,4,6,14,16,20,31
皱着眉头	5,6,9,14,15,17,20,24,30,31
皱纹	0,3,4,6,7,9,10,14,20,22,25,27,29,31
皱缩	1
皱起	2,31
皱过	27
皲裂	16
盆	14,29
盆儿	14
盆子	13,14,16,21,29
盆置	14
盈亏	4,5,6,14,17
盈仓	28
盈余	6
盈庭	28
盈握	32
盈海盈陆	2
盈盈	7,11,15,19,25
盈眶	20,25,31
盈筐	5
益友	14
益处	16,23,28,31
益寿	31
盍	16
盎然	13
盏	30
盏灯	26,31
盐	17,30
盐井	28
盐水	10
监	4,20,23
监刑	9,22
监守	2
监察	2
监察官	2
监战	21
监战人	21
监房	7
监护	20
监押	31
监牢	1,3,14,20,23,24,25,26,29,30,31
监狱	0,1,9,13,23,24,27,30,31
监督	31
监禁	1,2,7,10,19,23,24,25,26,31
监管	30
监视	14,19,20,26,27,31
盒子	1
盔	2,21,27,31
盔甲	10,12,17,19,21,25,31
盖	0,1,4,6,7,10,11,13,16,17,29,30,31,32
盖上	7
盖世	1,6,10,17,19,31
盖世无双	1,10
盖世英雄	6,17,31
盖个	21
盖伊	24
盖住	10,11,15,30
盖兹	1
盖兹山	1
盖勃	14
盖卑	17
盖印	2,7,10
盖尼	16
盖满	9
盖起	13,26,30
盖起来	13,26
盖过	32
盗	7,8,11,16,26
盗丙	8,11
盗党	1
盗劫	1
盗取	15,28
盗国	7
盗寇	17
盗尸	5
盗心	16
盗案	1,12
盗甲	8,11
盗窃	2,26,31
盗贼	5,8,10,12,19,20,21,23,27,31,32
盘	31
盘儿	14
盘前	27
盘剥	6,30,31
盘子	1,5,12,13,19,28,29
盘据	18
盘旋	7,12,17,20,32
盘桓	7,8,19,25
盘盛	24
盘算	5,12,17,25,31
盘算着	5,17
盘细	19
盘绕	7,10,16
盘绕在	16
盘绕着	10
盘踞	7,12,25,31
盘问	0,3,4,5,11,17,26,30
盛	12,16,19,20,27,31
盛世	2,12
盛举	25
盛事	24
盛会	1,5
盛传	31
盛典	7,10,25,29
盛况	17
盛名	3,14,21,29,31
盛夏	11,12,17,19,27,29
盛大	1,4,7,8,10,11,13,22,24,26,27,29,30,31
盛宴	8,13,15,19,27,29,31
盛年	11,13
盛开	15
盛德	12,27
盛德之	27
盛怒	1,9,10,12,13,15,20,21,22,23,24,25,27,32
盛怒之下	10,12,15,25
盛情	2,6,7,8,9,10,12,13,14,22,24,25,26,27,31
盛情难却	13
盛意	2,8,19,21,25
盛放	29
盛暑	10,27
盛服	6,17,25
盛气	16,21,25,27,31
盛气凌人	16,27,31
盛水	31
盛满	8,10,25
盛着	7,14
盛礼	5
盛筵	1,5,7,12,22
盛脏	18
盛衰	31
盛装	5,10,14,20,24
盛誉	19,25
盛起	28
盛餐	10,23
盛馔	8,22,29
盟	12,17,19
盟书	1,27
盟会	17
盟友	25,31
盟好	10
盟山誓海	3
盟督	25
盟约	0,1,6,7,10,12,15,19,23,24,25,27,31,32
盟言	6,11,15
盟誓	0,2,3,4,5,7,10,11,12,13,14,15,17,19,20,21,25,26,27,32
盥身	15
目	31
目下	22
目不识丁	0
目中	20,21,24,25,30,31
目中无人	20,21,24,25,30,31
目之仇	20
目之所接	16
目今	31
目光	0,2,8,11,17,21,25,29,31
目击	4,7,26
目前	0,1,3,4,7,10,12,13,19,23,25,26,27,31,32
目启	11
目姿情	19
目录	0
目无	3,5,7,8,12,20,24,25,27,29,31
目无光	25
目无君	20,27,29
目无尊长	5
目无法纪	5,12
目无王	31
目标	0,1,2,5,6,8,10,13,17,19,21,22,23,26,28,29,31,32
目的	0,1,2,3,4,5,6,7,8,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,26,27,28,29,30,31,32
目的地	2,21,22,24
目的物	4,7,21
目眩	5,6,31
目睹	4,25,26
目瞪口呆	17,26
目秀	16
目移	8
目空一世	2,19,21
目空一切	17,21,31
目而视	24
目藏	19
目迷五色	8
盯	9,10,21
盯住	24,31
盲	6,11,19
盲人	31
盲冲	2
盲目	0,2,5,6,7,10,11,12,13,14,15,17,19,20,21,22,27,28,29,30
直	0,1,5,16,17,18,19,20,21,23,24,28,29
直中	6
直冲	17,20,26
直到现在	9,12,18,19,21,23,24,26,27,32
直刺	17,19,26,27
直勾勾	31
直取	31
直叫	25
直响	5
直嚷	6
直奔	18,24
直往	31
直截	1,10,14,17,23,24,25,26
直截了当	14,24,25,26
直挺	0,1,5,16,29
直挺挺	0,1,5,16,29
直捣	31
直捷	10,30
直接	1,2,4,6,7,12,31,32
直撞	13,17,21
直来直往	31
直流	11
直爆	10
直爽	26
直率	19,31
直盯	7
直立	5,19
直竖	1,31,32
直等	5,13,18
直系	17,31
直至	3,4,12,16,28
直觉	11
直言	1,7,20,24
直言极谏	20
直说	11,17,25
直趋	3
直跳	15,17,30
直躺	5
直达	2,9,27,31
直进	2,10
直追	5
直驶	6
相	1,4,6,7,10,17,18,20,22,30
相与	3
相争	2,21
相互	3,6,17,24,25
相交	13,14,26
相亲	4,9,10,23,26,32
相亲相爱	9,23,26,32
相从	8,16
相仿	1,6,7
相伍	2
相会	1,2,3,6,7,10,12,13,14,15,16,18,21,23,25,26,27,29,30,32
相传	2,3,8,15,16,17,22,25,27,28,29
相传已久	2
相伴	12,15
相似	7,25,31
相依	5,8,13
相依为命	5,8
相信	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
相像	0,4,8,12,17,20,25
相共	2
相关	12,13,22,25
相冲	10
相冲突	10
相加	2,3,16
相助	0,3,4,6,8,22,28
相印	10
相去	5,6,7,13,20,21,22
相去不远	6,13,22
相去无几	20
相反	0,1,3,4,5,6,7,22,24,26,31,32
相合	11,30
相同	0,1,2,6,7,9,12,17,20,24,25,31
相向	9,20,21,26,31
相吻	5,11,27
相告	22,25
相商	17
相埒	0
相处	9,10,23,25,31
相好	9,23,26,30,31
相安	10,31
相安无事	10,31
相宜	25,26,29
相容	6,10
相对	1,2,3,10,15,16,20,21,22,27,30,32
相差	6,12,28,31
相差不远	12
相差无几	31
相干	0,1,4,5,6,7,8,10,11,14,15,16,17,18,20,21,23,25,26,27,28,30,31
相应	15,20,27
相弃	6
相强	6
相当	0,1,4,5,6,7,8,9,12,13,14,17,19,20,26,27
相当于	17
相形	1,2,7,8,11,12,13,21,22,26
相形之下	1,7,8,11,13,21,22
相形见绌	2,12,26
相待	2,4,12,24,25
相得	5,18
相得益彰	5,18
相怜	3,5,12,14,18,19,20,23,29
相思	0,3,4,5,6,10,11,14,15,16,18,19,20,21,26,29,30
相思病	16,19
相恋	16,18,29
相战	21
相承	25
相护	26
相抵	6,7,8
相持	1,3,7
相持不下	1,3
相接	0,1,10,12,24,26
相提并论	0,4,5,10,12
相握	7
相援	10,22
相斗	5
相映	14
相有	10
相望	2,9
相机	31
相机行事	31
相来	14
相残	10,12,21,25,26,27,31
相比	2,8,12,15,16,20,21,24,25,29,31
相求	3
相沿	17
相法	31
相熟	4,12
相爱	0,5,6,7,9,10,12,14,16,17,23,25,26,32
相率	10
相看	9,10,14,21,25,30
相知	7,11,19
相知有素	7
相示	32
相称	1,3,4,5,7,9,10,12,17,21,23,25,26
相符	0,1,22,26
相符合	26
相等	10,12,17,31
相系	29
相继	1,12,22,31
相联	8,22
相聚	15,28
相背	15
相见	1,4,5,10,11,12,13,15,19,20,21,27,29,31,32
相视	1,25,27,32
相视而笑	32
相触	27
相让	25,30
相许	18
相识	3,4,5,6,8,12,14,16,20,26,27,31
相谈	21
相貌	0,2,4,7,8,10,11,14,15,16,17,21,23,26,28,30,31
相貌堂堂	15
相赠	9
相距	1,4,9
相较	30
相迎	13,21,25
相近	0,22
相通	27
相逢	1,5,8,14,21,22
相遇	0,1,2,5,7,8,10,12,13,15,16,20,21,22,24,25
相配	4,7,17
相配合	7
相间	15
相陪	16
相随	25
相隔	4,25,28
相食	2,22,26
相骂	15
盹	20
盹儿	0
盼	1,4,8,9,14,15,17,29
盼候	26
盼望	0,1,8,10,12,13,14,16,17,21,23,25,28,31
盼望已久	14
盼望着	16,17,25,28
盼睐	11
盾	19
盾牌	1,2,8,10,17,19,21,22,29,30
省	2,3,16,17,30,31
省下	10,16
省些	13,17,27,30
省去	1
省吃俭用	31
省悟	31
省省	31
眈眈	25
眉头	0,2,4,5,6,9,12,14,15,16,17,20,24,26,27,30,31
眉宇	5,8,19,27,31
眉宇之间	27
眉尖	30
眉来眼去	10
眉毛	3,4,10,16,19
眉目	12,18,25,28,31
眉目传情	12,18,25,28
眉睫	25,31
看一看	1,2,3,4,6,7,10,12,15,17,18,20,21,23,26,27,28,30,31,32
看一遍	6,21,31
看上	2,3,6,14,20,26,28,29,30,31
看上去	2,3,6,14,20,26,28,29,30,31
看不上	0,26,31
看不上眼	0,26,31
看不下去	10
看不出	7,9,10,11,12,18,20,21,25,30,31
看不出来	11,18,20,30
看不到	1,17,26,31
看不惯	17,25
看不懂	13,21
看不清	8,13,24,31
看不清楚	8,13
看不见	0,1,2,3,5,6,7,10,11,12,13,14,15,17,19,20,21,25,26,30,31
看不起	0,1,3,11,13,16,20,28,30
看个	3,8,11,14,20,21,24,27
看中	0,3,4,6,9,11,12,18,19,24,25,29,30
看书	14,31
看些	4,7
看人	14
看似	3,15
看住	6
看作	0,3,4,5,6,7,13,16,18,22,24,29,31
看信	31
看做	5,17,18,19,28,30
看准	0,1,2,3,6,7,9,13,18,20,22,25,26,32
看出	1,2,3,4,7,8,9,10,11,12,13,16,17,18,19,21,24,25,26,28,30
看到	0,1,2,3,4,5,6,7,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,30,31,32
看剑	17
看勃金汉	24
看厌	25
看吧	4,6,11,17,18,19,20,21,23,24,25,26,31
看哩	31
看太热	24
看头	24
看好	0,6,9,21
看守	1,2,4,6,7,9,10,12,13,16,17,18,19,20,21,22,26,27,29,30,31
看安	24
看官	8
看定	7,18
看客	15,17
看家	1,6,30
看家本领	1,6,30
看弗来	23
看待	0,1,2,3,4,5,6,7,8,10,12,14,15,16,20,23,24,25,26,29,30,31,32
看得	0,1,3,4,6,7,8,11,12,18,19,20,23,24,26,27,28,29,30,31,32
看得出	0,4,8,11,19,23,24,27,28,29,30,31,32
看得出来	0,8,11,23,24,28,30,31,32
看得清	18,20
看得见	0,11,27,28,31
看得起	11,20,26,29
看情形	1
看惯	1
看戏	7
看成	3,4,7,19,24,26
看护	1,9,18,20,31
看押	5,9,27
看斯丹莱	25
看明	4
看星	30
看有	5
看望	14
看来	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
看样	5,12,14,18,26
看样子	5,12,14,18,26
看法	2,11,13,15,17,24,25,30,31
看清	10,19,21,22,24,25,26,28,30
看清楚	19,24,28
看牛	4
看牢	17
看猪	1
看看	0,1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,30,31,32
看看书	14
看着	0,2,3,4,5,6,7,9,10,12,13,14,15,17,20,21,22,23,24,25,26,27,28,29,31,32
看破	3,16,17,26
看破红尘	16
看穿	17,24
看管	0,9,14,17,25,31
看紧	21
看约安	31
看羊	4,16
看肉里	9
看能	16,31
看葛	31
看见	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
看觑	4
看起	0,1,4,6,7,8,11,12,13,15,16,17,18,19,20,21,23,26,28,30,31
看起来	0,1,4,6,7,8,11,12,13,15,16,17,18,19,20,21,23,26,28,30,31
看路	25
看轻	7,10,12,20,21,26,30
看过	1,7,11,14,15,18,23,24,31
看进	7
看透	1,3,6,7,15,17,24,25,30,31
看邪	13
看重	0,1,2,3,4,6,7,8,11,12,13,16,17,21,24,26,29,30,32
看错	7,18,23,25,26,30
看门	1,9,18,19,20,22,23,28,31
看门人	9,18,20,22,31
看门狗	28
看顾	0,1,8,21,22,26
真	0,1,2,3,4,5,6,7,8,9,10,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
真不	1,4,8,10,12,16,17,19,20,21,23,24,25,26,31
真不信	12
真不容易	16,26
真不对	16
真不少	20
真不愧是	17,24,31
真不愿	4,10
真不真	23
真不知道	24,25
真不该	1,8
真不错	19,21,25
真个	16,26
真为	26
真事	18,24
真人	11,24
真人真事	24
真令人	6
真价	3,12
真会	3,4,9,15,17,21,26,30,31
真会照	17
真使	1,15,26,28,30,31
真像	3,7,9,17,19,24,28,31
真冷	7
真凭实据	20,26,30
真刀	17
真刀真枪	17
真切	4,16,25
真发	0
真叫	4,5,6,19,25,31
真叫人	5,10,11,17,18,21,25,26,28,29,30,31
真可	3,24
真可怜	18,20
真同	15
真命	27,31
真坏	14
真够	1,3,15
真太	1,3,7,8,10,18,21,31
真太叫	23
真好	0,9,12,30
真妙	1,9,31
真实	0,1,4,5,7,8,12,13,15,16,18,19,21,22,23,24,25,26,27,28,29,31
真对	9
真对不起	9
真巧	25
真幸福	4,24,30
真应	19
真形	5
真得	9
真心	0,1,2,3,4,5,6,7,8,9,10,11,13,14,15,16,17,18,19,20,21,24,25,26,27,28,30,31
真心实意	31
真心诚意	17,18,24,25
真心话	2,11,14,17,25,31
真忱	25
真情	1,3,5,6,10,11,12,13,16,20,21,22,24,25,26,27,28,30,32
真惨	4
真想	1,4,5,6,14,17,18,21,28,29
真想学	25
真意	1,2,31
真才	8
真才实学	3
真挚	17,23,25,31
真文森修	14
真早	1
真是	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
真是假	14,20,24,26
真是太	1,3,7,10,13,17,18,22,23,30
真替	8,13,30
真有	0,1,2,3,4,5,8,9,12,14,16,17,18,20,21,23,26,27,28,30,32
真来	16,30
真枪	17
真正	1,2,3,7,8,10,11,12,13,14,15,16,17,18,19,21,23,24,25,26,27,28,29,30,31,32
真火	7
真火哩	31
真热	7
真率	1
真理	0,1,2,3,4,6,7,8,12,13,15,19,20,21,22,23,24,25,27,30,31
真疯	7
真的	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
真相	0,1,3,4,5,7,9,10,12,16,20,22,23,25,26,29
真相大白	4,23
真真	16
真确	8,12,20
真神	7,19,25
真穷	13,20
真糟	5
真糟糕	5
真紧	31
真纯	16,23
真能	3,7,15,28,31
真蠢	15
真要	1,5,8,16,17,18,25
真诚	0,1,2,3,4,5,6,7,8,10,11,12,13,16,17,19,20,21,22,24,25,26,27,29,30,31,32
真诚地	2
真诚相待	24
真话	1,3,4,5,9,10,12,13,14,15,16,17,18,20,21,22,23,25,26,28,30,31,32
真该	1,31
真说	13,31
真轻	20
真配	5,30
真金	1,7,24
真面目	5
眠	1,6,7,8,9,10,11,12,15,20,21,26,29,32
眨	14,15,18
眨巴	18
眨巴眼	18
眨眼睛	15
眩人	31
眩惑	1,6
眩目	1,5,6,19,20
眩眩	9
眩耀于	19
眯着	6,17
眷	0,1,3,4,11,12,15,22,23,27
眷宠	4,21,27,28
眷属	3,19
眷念	10,13,29
眷怀	3,13
眷怜	15
眷恋	2,3,24,30
眷注	27,29
眷爱	2,3,9,11,24,26
眷顾	3,10,11,16,20,21,22,26,30,31
眸子	15,31
眺望	17,25
眼	0,1,6,7,11,12,18,20,23,25,30,31
眼上	15,16,21
眼中	0,1,3,4,5,6,7,8,9,10,11,15,16,18,19,20,21,22,24,25,26,27,28,29,31,32
眼中钉	25
眼儿	6,17,18,19,25,30,31
眼光	0,1,2,3,4,5,6,8,10,12,13,15,16,17,18,19,20,21,24,26,27,28,29,30,31,32
眼前	0,1,2,3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,24,25,26,27,28,29,30,31,32
眼前亏	21
眼力	27,31
眼圈	16,28
眼孔	8
眼对眼	17
眼屎	7,17
眼巴巴	5
眼帘	25
眼底	12,19,25
眼明手快	5
眼来	11,17
眼法	25
眼波	4,11,15,19
眼泪	0,1,2,3,4,5,6,7,8,10,11,12,13,14,15,16,17,19,20,21,22,23,24,25,26,27,28,29,30,31,32
眼泪汪汪	15,31
眼点	17
眼珠	0,4,9,10,15,16,17,19,20,21,22,23,25,26,27,31
眼珠子	0,9
眼球	6,20
眼界	25
眼白	2
眼皮	1,4,7,8,14,15,16,18,19,28
眼目	1,4,26,28,31
眼看	1,2,3,4,5,6,7,8,9,10,11,12,13,14,17,20,22,23,24,25,26,27,28,30,31,32
眼眶	6,8,9,10,17,20,24,25,27,29,31
眼眶里	6,9,10,17,20,25,27,29,31
眼睁睁	26
眼睑	0,1,4,5,8,12
眼睛	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
眼睫	8,12
眼福	0,10
眼穴里	27
眼窝	17
眼红	10,15
眼红红	10
眼线	1
眼罩	21
眼膜	27
眼色	1,8,17,24
眼花	4,7,14,31
眼花撩乱	7
眼花缭乱	31
眼见	11,15,25,31
眼见得	31
眼角	5
眼边	3,15
眼里	2,5,6,8,9,10,14,15,17,18,19,20,21,24,25,27,30,31,32
眼镜	2,16,20,30
眼面前	21
着凉	17
着力	7,16,20,26,32
着培	30
着实	7,8,12,18,20,24
着急	1,6,14,17,31
着想	1,2,3,7,8,11,14,25,28,31
着意	9,22
着慌	19
着手	3,4,9,10,17,22,23,24,29,30,31
着手成春	3
着数	1
着火	4,5,7
着界木	4
着眼	4,14,17,31
着眼点	17
着立	28
着落	11
着迷	26,28
着重	25
睁	6,7,8,12,13,14,17,20,22,26,28,31,32
睁不开	11,17,21
睁大眼睛	31
睁开	5,11,12,15,19,20,24,26,28,30,31,32
睁开眼	24,26,28,30,31
睁开眼睛	24,28,30,31
睁眼	31
睇	15
睚眦	27
睚眦必报	27
睛天	31
睡	0,1,2,3,4,5,6,7,8,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,28,29,30,31,32
睡上	23,24
睡下	5,12,30,32
睡下去	5,12,30
睡下来	32
睡不着	7,11,14,21,26
睡不醒	10
睡个	17
睡于	12
睡伴	25
睡去	10,13
睡大觉	31
睡少	26
睡帽	1,32
睡得	0,3,4,10,14,15,16,17,20,22,26,28,32
睡方	15
睡时	25
睡梦	1,2,4,5,7,11,20,22,23,24,25,26,27,28,29,31,32
睡梦中	1,4,22,24,25,26,27,28,31
睡梦之中	1,2,7,11,22,23,26,31,32
睡沫	27
睡熟	1,5,7,12,15,28,29,30,32
睡状	28
睡狮	23
睡眠	1,2,4,5,7,8,10,11,12,15,21,22,23,24,25,29,31,32
睡眼	5,25
睡着	1,2,4,7,9,10,12,14,15,16,17,18,20,21,22,24,25,28,31,32
睡睡	0,7,15,32
睡睡觉	0
睡神	28
睡者	7
睡衣	14,22,26,30,32
睡觉	0,1,2,4,5,6,7,9,10,11,12,13,14,15,16,18,19,20,21,22,23,24,26,27,28,30,31,32
睡过	3,5,12,20,22,32
睡近	15
睡进	25
睡魔	12
督促	1,8
督察	26
督府	8
睥睨	7,10
睦	28
睦邻	6,13
睨视	32
睫下	19
睫毛	8,28
睬	6,19
睽	12
睽睽	17
睽违	0
睾丸	5,18
瞄	1
瞄准	5,14,15,24,29,31
瞄定	8
瞅	31
瞌睡	0,1,7,11,14,16,19,20,21,28,32
瞎	2,3,4,9,11,17,18,20,26,29,31
瞎三话四	3
瞎了眼	1,12,17,24,31
瞎了眼睛	1,12,24
瞎子	2,6,11,17,20,30,31
瞎扯	6,17
瞎操心	4
瞎眼	3,5,8,16,17,18,20,28,30,31
瞎话	17,30
瞎说	23,31
瞑目	4,5,12,25,27,28,29,31,32
瞒	1,4,9,11,14,15,21,26
瞒不过	6,15,31
瞒住	3,20
瞒过	4,10,17,22,23
瞟	16,18,19
瞟视	0
瞠乎其后	28
瞥	31
瞥见	21,25
瞥视	14,27
瞧	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
瞧一瞧	0,6,8,12,17,19,22,28
瞧不上眼	3,10,29
瞧不起	1,2,4,6,10,11,12,13,14,16,18,20,21,22,26,27,29,30,31,32
瞧不起人	4,11,20
瞧个	17
瞧得起	13
瞧望	28
瞧瞧	0,1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,20,21,22,23,26,27,29,30,31,32
瞧范顿	18
瞧见	0,1,2,4,5,6,7,9,11,14,15,16,18,19,21,22,24,27,30,31,32
瞧贝	30
瞧起	6,30
瞩望	7
瞪	17,18,20,22,24,31,32
瞪眼	1,6,17,18,20
瞬即	23
瞬息	25
瞬息间	25
瞬间	6,10,19,20,32
瞳人	9,19
瞳睛	12
瞻	14,18
瞻仰	1,2,3,4,5,6,8,10,11,14,19,30,31
瞻前顾后	7,31
瞻望	1,5,10,21,23
瞻眺	8
瞻瞩	4
瞻见	17
瞻顾	23
瞽	11
瞿然	2
矗立	7,10,17,23,31
矛	14,25,31
矛加	32
矛头	25,31
矛尖	31
矛断	25
矛来	2
矛盾	12,15,21,23,31
矛盾重重	21
矛高	25
矜	13
矜严	7
矜傲	16
矜功	21
矜功伐能	21
矜夸	2
矜怜	12,26,29
矜持	0,5,23,26
矜饰	19
矢	5
矢口	23,24
矢口否认	23,24
矢告	19
矢忠	12,25,27,31
矢石	21
矢誓	15
矢镝	10
知	0,2,4,19,25,28
知不知道	16,28
知交	1,7,13,19,26
知人	13
知人之明	13
知其	15
